https://greatawakening.win/p/140vaMfeFT/followup-on-moderna-bad-batches-/c/

vax_lot  | expiry_date 
 055D21A   | 2021-12-05
 939889    | 2021-12-05
 063D21A   | 2021-12-05
 041D21A   | 2021-12-04
 939888    | 2021-12-03
 040D21A   | 2021-12-02
 039B21A   | 2021-12-02
 054D21A   | 2021-12-01
 008D21A   | 2021-12-01
 024D21A   | 2021-11-30
 020G21A   | 2021-11-30
 047D21A   | 2021-11-30
 028D21A   | 2021-11-29
 023D21A   | 2021-11-29
 036B21A   | 2021-11-28
 022D21A   | 2021-11-28
 022B21A   | 2021-11-28
 027D21A   | 2021-11-28
 038D21A   | 2021-11-27
 021D21A   | 2021-11-26
 033B21A   | 2021-11-26
 020B21A   | 2021-11-23
 007D21A   | 2021-11-22
 005D21A   | 2021-11-20
 009D21A   | 2021-11-19
 080C21A   | 2021-11-18
 004D21A   | 2021-11-18
 082F21B   | 2021-11-16
 017B21A   | 2021-11-14
 054C21A   | 2021-11-13
 075C21A   | 2021-11-11
 008B21-2A | 2021-11-10
 048C21A   | 2021-11-09
 051C21A   | 2021-11-08
 939676    | 2021-11-07
 047C21A   | 2021-11-07
 046C21A   | 2021-11-06
 049C21A   | 2021-11-05
 039A21A   | 2021-11-04
 046A21A   | 2021-11-03
 939600    | 2021-11-02
 041C21A   | 2021-11-01
 034C21A   | 2021-10-29
 039C21A   | 2021-10-29
 033C21A   | 2021-10-27
 038C21A   | 2021-10-27
 939599    | 2021-10-27
 026C21A   | 2021-10-24
 009C21A   | 2021-10-15
 050E21A   | 2021-10-13
 008C21A   | 2021-10-13
 049E21A   | 2021-10-11
 006C21A   | 2021-10-10
 048B21A   | 2021-10-09
 047B21A   | 2021-10-09
 045B21A   | 2021-10-08
 042B21A   | 2021-10-05
 042B21-2A | 2021-10-05
 041B21A   | 2021-10-04
 043B21A   | 2021-10-03
 040B21A   | 2021-10-02
 037B21A   | 2021-10-01
 021B21A   | 2021-09-26
 021B21A-1 | 2021-09-26
 038B21A   | 2021-09-25
 032B21A   | 2021-09-24
 031B21A   | 2021-09-22
 019B21A   | 2021-09-21
 030B21A   | 2021-09-20
 025B21A   | 2021-09-19
 027B21A   | 2021-09-18
 026B21A   | 2021-09-17
 018B21A   | 2021-09-16
 016B21A   | 2021-09-13
 058D21A   | 2021-09-11
 008B21A   | 2021-09-10
 003B21A   | 2021-09-09
 007B21A   | 2021-09-08
 002B21A   | 2021-09-07
 006B21A   | 2021-09-06
 001B21A   | 2021-09-06
 048A21A   | 2021-09-05
 038A21A   | 2021-09-02
 047A21A   | 2021-09-01
 037A21B   | 2021-08-31
 044A21A   | 2021-08-31
 045A21A   | 2021-08-29
 031A21A   | 2021-08-28
 032M20A   | 2021-08-27
 026A21A   | 2021-08-26
 036A21A   | 2021-08-26
 025A21A   | 2021-08-24
 040A21A   | 2021-08-24
 027A21A   | 2021-08-22
 013A21A   | 2021-08-20
 030A21A   | 2021-08-19
 012A21A   | 2021-08-17
 011A21A   | 2021-08-16
 010A21A   | 2021-08-14
 003A21A   | 2021-08-14
 014M20A   | 2021-08-12
 002A21A   | 2021-08-11
 023M20A   | 2021-08-10
 001A21A   | 2021-08-09
 022M20A   | 2021-08-08
 031M20A   | 2021-08-05
 024M20A   | 2021-08-03
 030M20A   | 2021-08-01
 013M20A   | 2021-07-31
 015M20A   | 2021-07-29
 031L20A   | 2021-07-22
 012M20A   | 2021-07-20
 010M20A   | 2021-07-19
 030L20A   | 2021-07-16
 011M20A   | 2021-07-16
 007M20A   | 2021-07-14
 029L20A   | 2021-07-13
 006M20A   | 2021-07-12
 004M20A   | 2021-07-10
 028L20A   | 2021-07-09
 013L20A   | 2021-07-08
 043L20A   | 2021-07-07
 012L20A   | 2021-07-06
 042L20A   | 2021-07-05
 041L20A   | 2021-07-03
 011L20A   | 2021-07-03
 027L20A   | 2021-06-30
 026L20A   | 2021-06-28
 038K20A   | 2021-06-26
 025L20A   | 2021-06-25
 037K20A   | 2021-06-22
 039K20A   | 2021-06-20
 039K20-2A | 2021-06-20
 029K20-2A | 2021-06-11
 029K20A   | 2021-06-09
 025J20A   | 2021-05-25
 029A21A   | 2021-05-22
 011J20A   | 2021-05-11
 016M20A   | 2021-05-02
 028A21A   | 2021-04-28
 032L20A   | 2021-04-18
 032H20A   | 2021-04-13
 062G20A   | 2021-03-06
 057G20A   | 2021-02-28
 025J20-2A | 2021-02-25

vax_lot  | expiry_date 
-----------+-------------
 017K21A   | 2022-06-07
 072K21A   | 2022-06-02
 073K21A   | 2022-06-02
 081J21A   | 2022-06-01
 080J21A   | 2022-05-31
 070K21A   | 2022-05-31
 069K21A   | 2022-05-30
 068K21A   | 2022-05-29
 052K21-2A | 2022-05-25
 054K21A   | 2022-05-25
 034K21A   | 2022-05-21
 033K21-2A | 2022-05-20
 032K21A   | 2022-05-19
 078J21A   | 2022-05-18
 031K21A   | 2022-05-18
 028K21A   | 2022-05-17
 030K21A   | 2022-05-16
 029K21A   | 2022-05-15
 003K21-2A | 2022-05-13
 002K21A   | 2022-05-12
 007K21-2A | 2022-05-11
 005K21A   | 2022-05-10
 004K21A   | 2022-05-10
 074J21A   | 2022-05-09
 006K21A   | 2022-05-08
 001K21A   | 2022-05-08
 086J21A   | 2022-05-06
 073J21A   | 2022-05-06
 085J21A   | 2022-05-05
 084J21A   | 2022-05-05
 083J21A   | 2022-05-03
 072J21A   | 2022-05-03
 045J21A   | 2022-05-02
 071J21A   | 2022-05-01
 044J21A   | 2022-05-01
 042J21A   | 2022-04-29
 007H21A   | 2022-04-28
 041J21A   | 2022-04-28
 040J21A   | 2022-04-26
 039J21A   | 2022-04-25
 023J21A   | 2022-04-25
 004H21A   | 2022-04-24
 022J21A   | 2022-04-24
 021J21A   | 2022-04-23
 016J21-2A | 2022-04-17
 007J21-2A | 2022-04-16
 003J21-2A | 2022-04-14
 001J21-2A | 2022-04-12
 033F21A   | 2022-04-08
